index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time
amalgam1_to_amalgam3-naive-2,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[123.966535357, 123.686452558, 123.727801313, 123.910445736, 124.10097051]","[0.000803642, 0.000796802, 0.000779161, 0.000808332, 0.000786891]","[0.571071342, 0.530626229, 0.506498399, 0.487602333, 0.476179747]","[114.70009437, 114.482627239, 114.542389458, 114.654959072, 114.882599569]","[6.6176101240000005, 6.576687517, 6.646168297, 6.708468494, 6.683682717]","[0.000442212, 0.000419051, 0.000420581, 0.00046836, 0.000417601]"
amalgam1_to_amalgam3-naive-4,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[125.204686345, 124.407779576, 125.149783471, 124.8919277, 125.480964929]","[0.000948882, 0.000954662, 0.000945974, 0.000932552, 0.000921922]","[1.330946516, 1.287720317, 1.3165664000000001, 1.2919044579999999, 1.278604275]","[115.157513247, 114.338967254, 114.950063329, 114.832792995, 115.343600305]","[6.653639571, 6.699113878, 6.765362598, 6.700742407, 6.807180077]","[0.000517, 0.000532811, 0.000519542, 0.000516582, 0.000518432]"
amalgam1_to_amalgam3-naive-8,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[126.310277645, 126.289423237, 126.803532867, 126.737835312, 125.568388313]","[0.001132431, 0.001126672, 0.001148081, 0.001127022, 0.001238335]","[2.571685465, 2.53522821, 2.439497507, 2.514115555, 2.499933594]","[114.870033233, 114.940932289, 115.529683447, 115.324298344, 114.279810268]","[6.824855861, 6.772752874, 6.780423674, 6.855872355, 6.756153826]","[0.000630444, 0.000639451, 0.000645233, 0.000629362, 0.000704863]"
amalgam1_to_amalgam3-naive-16,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[129.3830644, 127.416726595, 129.832071851, 129.517770593, 129.654405663]","[0.001524898, 0.001547795, 0.001571803, 0.001554453, 0.001560713]","[4.896000827, 5.063293452, 4.935116462, 4.993900405, 4.819233926]","[115.410940126, 113.236789243, 115.824002881, 115.467031571, 115.806044966]","[6.9780850789999995, 7.098775986, 7.040553369, 7.020680928, 6.997611514]","[0.001008075, 0.001014274, 0.001127182, 0.001076811, 0.000960483]"
amalgam1_to_amalgam3-random-1,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[123.120153431, 122.518711435, 122.739852603, 123.602144424, 122.581489887]","[0.000742752, 0.000778121, 0.000757182, 0.000743243, 0.000749052]","[0.244040012, 0.166281257, 0.175272811, 0.172791912, 0.170499181]","[114.195626984, 113.801696887, 113.935778895, 114.893989842, 113.860656624]","[6.560505181, 6.515805213, 6.581175017, 6.485298148, 6.505146503]","[0.000387301, 0.000370181, 0.00036954, 0.000369801, 0.000420501]"
amalgam1_to_amalgam3-random-2,"[1, 0.9886449659348978, 0.9791745550927679, 1, 1]","[24, 23, 22, 24, 24]","[123.747508933, 123.010007147, 123.401269326, 123.125390008, 123.459195393]","[0.000762462, 0.000755852, 0.000749861, 0.000764201, 0.000804931]","[0.248377498, 0.280668614, 0.241777624, 0.338410949, 0.394824697]","[114.874512569, 114.095029618, 114.535173625, 114.222208724, 114.303197996]","[6.5887285129999995, 6.57118291, 6.590171409, 6.5278188230000005, 6.676840041]","[0.000374021, 0.000389311, 0.000371941, 0.000401061, 0.000419251]"
amalgam1_to_amalgam3-random-4,"[0.9886449659348978, 1, 1, 0.9886449659348978, 0.9791745550927679]","[23, 24, 24, 23, 22]","[123.43617165, 124.180344885, 124.342132866, 123.673216787, 123.621567481]","[0.000771561, 0.000835242, 0.000908654, 0.000831404, 0.000756213]","[0.44548953, 0.602202377, 0.878539069, 0.560045877, 0.439681948]","[114.255626545, 114.760942867, 114.829193597, 114.449785779, 114.489961256]","[6.660161028, 6.7307500749999996, 6.553938832, 6.598651811, 6.621272372]","[0.0003941, 0.00043039, 0.000512521, 0.000419051, 0.000385801]"
amalgam1_to_amalgam3-random-8,"[0.9886449659348978, 0.9886449659348978, 0.9898228420655861, 0.9886449659348978, 1]","[23, 23, 23, 23, 24]","[124.996456983, 125.124317389, 124.725480248, 124.752650609, 125.160391423]","[0.000842203, 0.000894061, 0.000847842, 0.000829053, 0.000790001]","[1.040057404, 1.131538943, 0.939084188, 0.796194328, 0.817795785]","[114.962826736, 115.080380193, 115.083803583, 114.975322338, 115.470188046]","[6.846281538, 6.803207825, 6.601374383, 6.8772230180000005, 6.790217733]","[0.000474391, 0.000536552, 0.00046198, 0.00043753, 0.000431992]"
amalgam1_to_amalgam3-random-16,"[0.9788039364118092, 0.9788039364118092, 0.9791745550927679, 0.9751131221719457, 0.9547681869581606]","[22, 22, 22, 22, 22]","[126.499234772, 126.025237331, 125.835822335, 127.368109345, 125.988687547]","[0.000863163, 0.000885952, 0.000908193, 0.000966072, 0.000850373]","[1.448095713, 1.357018326, 1.6120250820000002, 1.3388868729999999, 1.355810867]","[115.910542581, 115.519270969, 115.113740432, 116.853919785, 115.654068939]","[6.9750434420000005, 6.992695308, 6.98385416, 7.031518977, 6.869235424]","[0.000496382, 0.000478932, 0.000515531, 0.000512562, 0.000457902]"
amalgam1_to_amalgam3-weighted_distance-1,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[123.75098528, 123.016686483, 123.351920061, 123.757083912, 122.822870726]","[0.000763841, 0.000757332, 0.000741059, 0.000757467, 0.000737962]","[0.223145766, 0.191613002, 0.172356029, 0.173390285, 0.166797611]","[114.794608912, 114.124780787, 114.616803527, 114.839323221, 114.053735509]","[6.585258952, 6.651430578, 6.52234098, 6.665294015, 6.561880707]","[0.000370722, 0.00037579, 0.000371606, 0.00037459, 0.000375401]"
