index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time,num_dup,num_tot
persondata-weighted_distance-0.5,"[0.575, 0.575, 0.575, 0.575, 0.575]","[5, 5, 5, 5, 5]","[0.23091831, 0.232917596, 0.242941565, 0.232594016, 0.229002535]","[9.8791e-05, 9.647e-05, 0.000105081, 0.00010433, 0.00010076]","[0.187986533, 0.189609046, 0.199895768, 0.188647424, 0.185648376]","[0.030174932, 0.03042714, 0.030419061, 0.030378021, 0.03022747]","[0.001605983, 0.001650035, 0.001623466, 0.001666625, 0.001622645]","[0.000484151, 0.000511242, 0.000494081, 0.000495511, 0.000463422]","[15, 15, 15, 15, 15]","[32, 32, 32, 32, 32]"
persondata-weighted_distance-0.7,"[0.575, 0.575, 0.575, 0.575, 0.575]","[5, 5, 5, 5, 5]","[0.76877774, 0.740764227, 0.80789995, 0.794790622, 0.797036771]","[0.000356432, 0.000360943, 0.000329132, 0.000326351, 0.000355333]","[0.631418976, 0.604536856, 0.668910699, 0.655303334, 0.660364423]","[0.10780395, 0.108425688, 0.108749865, 0.108643315, 0.108063811]","[0.005725689, 0.005901562, 0.005769465, 0.005755497, 0.005777198]","[0.001761975, 0.001856584, 0.001743145, 0.001681104, 0.001783044]","[62, 62, 62, 62, 62]","[112, 112, 112, 112, 112]"
persondata-weighted_distance-0.9,"[0.575, 0.575, 0.575, 0.575, 0.575]","[5, 5, 5, 5, 5]","[0.789612411, 0.768926769, 0.800722407, 0.809812996, 0.790144808]","[0.000350961, 0.000349341, 0.00037443, 0.000396291, 0.000360931]","[0.650024833, 0.632483951, 0.659558014, 0.662404524, 0.653229025]","[0.108632774, 0.108547106, 0.110856329, 0.115100688, 0.108006199]","[0.005880897, 0.005995587, 0.006257135, 0.006542352, 0.005930653]","[0.001717876, 0.001903985, 0.001935538, 0.002095547, 0.001812236]","[62, 62, 62, 62, 62]","[112, 112, 112, 112, 112]"
persondata-weighted_distance-1.0,"[0.575, 0.575, 0.575, 0.575, 0.575]","[5, 5, 5, 5, 5]","[0.795086874, 0.784904456, 0.798057557, 0.767024834, 0.799396283]","[0.00035288, 0.000345, 0.000346662, 0.000353142, 0.000391051]","[0.632713354, 0.645771945, 0.660108942, 0.630865625, 0.649128163]","[0.108929464, 0.108566077, 0.10905064, 0.108608871, 0.117745145]","[0.00589874, 0.005783816, 0.006030977, 0.005804488, 0.006288911]","[0.001762487, 0.001768386, 0.001774344, 0.001813235, 0.001904056]","[62, 62, 62, 62, 62]","[112, 112, 112, 112, 112]"
persondata-naive-0.5,"[0.575, 0.575, 0.575, 0.575, 0.575]","[5, 5, 5, 5, 5]","[0.885247516, 0.874054913, 0.874045374, 0.874961389, 0.879173575]","[0.00039423, 0.000412662, 0.000415772, 0.000421112, 0.000398822]","[0.840300282, 0.82995525, 0.826951102, 0.828741995, 0.834783091]","[0.140071837, 0.144621463, 0.146908271, 0.142503886, 0.140784681]","[0.006989197, 0.007329372, 0.007323962, 0.007063546, 0.007247505]","[0.002161068, 0.002177827, 0.002188075, 0.002140407, 0.002191726]","[80, 80, 80, 80, 80]","[144, 144, 144, 144, 144]"
persondata-naive-0.7,"[0.75, 0.75, 0.75, 0.75, 0.75]","[8, 8, 8, 8, 8]","[6.099747747, 6.123416112, 5.956174712, 6.002185085, 5.988350746]","[0.002656339, 0.002883591, 0.002881339, 0.002808178, 0.002734591]","[5.991828276, 6.044853158, 5.885928972, 5.935086866, 5.90979362]","[1.062875329, 1.065075433, 1.092107561, 1.065040472, 1.072790299]","[0.057402716, 0.058300414, 0.059042611, 0.05759125, 0.058410884]","[0.017257346, 0.017836155, 0.018073123, 0.017660602, 0.017804254]","[605, 605, 605, 605, 605]","[1024, 1024, 1024, 1024, 1024]"
persondata-naive-0.9,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[341.158985341, 340.438866049, 341.15914486, 380.990862027, 400.893361015]","[0.064487149, 0.066568093, 0.064748424, 0.063493513, 0.060868388]","[340.551508541, 339.854374794, 340.587821016, 380.45558547, 400.319855653]","[26.52459554, 26.730517353, 26.704101961, 26.60327907, 26.46383398]","[1.616228568, 1.711620618, 1.625705642, 1.633327373, 1.6112974100000002]","[0.438568116, 0.44427414, 0.438873402, 0.438168411, 0.438220805]","[23395, 23395, 23395, 23395, 23395]","[36696, 36696, 36696, 36696, 36696]"
persondata-naive-1.0,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[383.341754952, 409.525093653, 400.728570777, 408.396567361, 392.878371943]","[0.065177118, 0.063648117, 0.069865105, 0.068972936, 0.061641382]","[382.806850592, 408.910918341, 400.090935785, 407.832700026, 392.256327459]","[26.500606515, 26.30884345, 26.536153035, 26.589464484, 26.470910914]","[1.623114185, 1.582106, 1.63728185, 1.644400364, 1.603380458]","[0.443315138, 0.431655373, 0.443326343, 0.445969126, 0.433606019]","[23395, 23395, 23395, 23395, 23395]","[36696, 36696, 36696, 36696, 36696]"
amalgam1_to_amalgam3-greedy-0.5,"[0.925, 0.925, 0.925, 0.925, 0.925]","[18, 18, 18, 18, 18]","[218.233906928, 217.114997085, 214.97683188, 214.94898081, 211.11820844]","[0.000734614, 0.000696834, 0.000899305, 0.000711404, 0.00069291]","[0.394141866, 0.356279297, 0.346388438, 0.386017963, 0.356841013]","[207.697150677, 206.696892836, 204.631422638, 204.69606326, 200.786098544]","[7.934056726, 7.897402048, 7.832318418, 7.727324085, 7.834947349]","[0.000376262, 0.000364162, 0.000358612, 0.000368393, 0.00036797]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
amalgam1_to_amalgam3-greedy-0.7,"[0.925, 0.925, 0.925, 0.925, 0.925]","[18, 18, 18, 18, 18]","[216.915600707, 214.982886191, 213.915557974, 213.168344343, 215.153820258]","[0.000710813, 0.000698824, 0.000691353, 0.000696916, 0.00072453]","[0.354851814, 0.359311076, 0.354865551, 0.379817225, 0.349776515]","[206.405468812, 204.568540889, 203.520962012, 202.776733577, 204.729331669]","[7.970532969, 7.892039635, 7.894879988, 7.881849142, 7.927661227]","[0.000385281, 0.000381331, 0.000373982, 0.000359668, 0.00036806]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
