index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time
flighthotel-weighted_distance-1,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[0.507577768, 0.504903758, 0.541171735, 0.514125156, 0.487831954]","[0.00020906, 0.000183879, 0.00015659, 0.00022513, 0.000209358]","[0.253258974, 0.272886443, 0.299905835, 0.278637138, 0.257857767]","[0.003622344, 0.003657534, 0.003552033, 0.003641562, 0.003759843]","[0.001999827, 0.001889018, 0.001662037, 0.002173897, 0.002047305]","[0.000640098, 0.00056006, 0.000498908, 0.000650209, 0.00061897]"
flighthotel-weighted_distance-2,"[0.34545454545454546, 0.34545454545454546, 0.34545454545454546, 0.34545454545454546, 0.34545454545454546]","[4, 4, 4, 4, 4]","[0.485495066, 0.484090075, 0.45477814, 0.466902107, 0.455143063]","[0.00016487, 0.00015424, 0.00018637, 0.00016738, 0.00017473]","[0.299015738, 0.300399897, 0.269853467, 0.280362336, 0.271337137]","[0.002627143, 0.002603146, 0.002650266, 0.002630793, 0.002683367]","[0.001600667, 0.001553867, 0.001580245, 0.00164185, 0.001619659]","[0.000660689, 0.000650149, 0.000633968, 0.00066882, 0.000652529]"
flighthotel-weighted_distance-4,"[0.30303030303030304, 0.30303030303030304, 0.30303030303030304, 0.30303030303030304, 0.30303030303030304]","[3, 3, 3, 3, 3]","[0.551695601, 0.547417601, 0.529033379, 0.571221535, 0.537289156]","[0.000161169, 0.00015831, 0.00014538, 0.00012028, 0.00015378]","[0.406819554, 0.406593976, 0.388499667, 0.427423518, 0.395664809]","[0.002191515, 0.002215015, 0.002213613, 0.002255097, 0.002202446]","[0.001399698, 0.001350809, 0.00136113, 0.001235978, 0.001393917]","[0.000560479, 0.000549589, 0.0005641, 0.000519429, 0.000567898]"
flighthotel-weighted_distance-8,"[0.30303030303030304, 0.30303030303030304, 0.30303030303030304, 0.30303030303030304, 0.30303030303030304]","[3, 3, 3, 3, 3]","[0.526345074, 0.609774246, 0.533722312, 0.567919381, 0.55935184]","[0.00011226, 0.000173189, 0.00014185, 0.000164919, 0.00016204]","[0.386413442, 0.438160471, 0.390102797, 0.421655356, 0.412102346]","[0.002129668, 0.002238346, 0.002262487, 0.002260549, 0.002251137]","[0.001167239, 0.001446445, 0.001361507, 0.001439885, 0.001408709]","[0.000492639, 0.000592239, 0.000565089, 0.000584308, 0.000576889]"
flighthotel-weighted_distance-16,"[0.30303030303030304, 0.30303030303030304, 0.30303030303030304, 0.30303030303030304, 0.30303030303030304]","[3, 3, 3, 3, 3]","[0.543756763, 0.555144801, 0.579826602, 0.548570204, 0.534518735]","[0.00014788, 0.00016609, 0.00014955, 0.00014216, 0.00014488]","[0.400084324, 0.410826065, 0.423268947, 0.405139836, 0.39092496]","[0.002348937, 0.002207965, 0.002332016, 0.002172224, 0.002265146]","[0.001390127, 0.001438879, 0.001379907, 0.001318258, 0.001351997]","[0.000567909, 0.00058408, 0.000548629, 0.00054642, 0.000563288]"
flighthotel-naive-1,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[0.480405547, 0.487592273, 0.465080498, 0.492359038, 0.482282732]","[0.00014867, 0.000197079, 0.000163299, 0.00018368, 0.00020928]","[0.243575964, 0.261333805, 0.241197899, 0.259406205, 0.257470579]","[0.003539835, 0.003639986, 0.00355845, 0.003592276, 0.003638102]","[0.001704476, 0.001950255, 0.001731378, 0.001871659, 0.001944498]","[0.000512058, 0.000584438, 0.000521729, 0.000561189, 0.00058889]"
flighthotel-naive-2,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[11.085847597, 10.441020822, 10.637780273, 10.322926644, 10.397550175]","[0.002495993, 0.002444849, 0.002416677, 0.002386677, 0.002486336]","[7.386751253, 6.803782254, 6.785689279, 6.685936682, 6.7192265970000005]","[0.110362364, 0.109301244, 0.108882575, 0.108537562, 0.10999301]","[0.035937176, 0.035500982, 0.035054212, 0.034759637, 0.035571182]","[0.007722766, 0.007577538, 0.007436029, 0.007311545, 0.007585503]"
flighthotel-naive-4,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[108.092208009, 106.742789671, 107.240792239, 116.85463392, 112.717850168]","[0.017027733, 0.016846478, 0.017471721, 0.016929275, 0.017412393]","[77.498134919, 76.622556609, 76.878985719, 86.550275427, 77.041404721]","[0.997980847, 0.996854819, 1.004805333, 0.992700525, 1.011291756]","[0.300424085, 0.30190472, 0.303402524, 0.297361687, 0.299978846]","[0.064636565, 0.064282601, 0.064838907, 0.063991687, 0.064699548]"
"flighthotel-naive-8","[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[165.328345737, 164.227829715, 262.403594379, 258.731602467, 276.450896173]","[0.023785075, 0.023817391, 0.024017879, 0.023375841, 0.023787054]","[153.108867313, 145.854934493, 243.978512071, 240.112243696, 258.160542496]","[1.51617815, 1.507446205, 1.5278835929999999, 1.496863356, 1.485896475]","[0.442323631, 0.436985641, 0.445104796, 0.43467661, 0.433168786]","[0.094838643, 0.093641887, 0.095804097, 0.092356947, 0.09295609]"
"flighthotel-naive-16","[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[263.040180974, 261.927682877, 255.300168618, 253.377656472, 286.582732819]","[0.024757811, 0.0242382, 0.02390704, 0.023628616, 0.023809343]","[250.805432806, 243.64719305, 236.863930415, 235.095388955, 268.222670007]","[1.55123725, 1.491934999, 1.481367826, 1.47856251, 1.489158418]","[0.454214865, 0.438707204, 0.436055705, 0.431124889, 0.436553096]","[0.097482493, 0.094011556, 0.09366465, 0.092953177, 0.092944473]"
dblp_to_amalgam1-naive-1,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[30.54925578, 29.450616038, 29.45662174, 29.51220028, 29.454586171]","[0.00039967, 0.000379561, 0.000568731, 0.00038167, 0.000384933]","[1.171350125, 0.263952674, 0.258227317, 0.224467436, 0.221555011]","[27.304354045, 27.404560477, 27.40791891, 27.501785722, 27.460659941]","[1.237399131, 1.239701883, 1.24896168, 1.240151256, 1.231261476]","[0.000353731, 0.00036478, 0.000489521, 0.000355032, 0.000354893]"
dblp_to_amalgam1-naive-2,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.670479418, 29.907004109, 29.897093678, 29.689709837, 29.657726389]","[0.000429992, 0.000434952, 0.000501383, 0.000442492, 0.000429181]","[0.649466086, 0.547922552, 0.576411165, 0.487351361, 0.473206088]","[27.239753856, 27.511897511, 27.552611283, 27.429804591, 27.411629969]","[1.236160157, 1.307123462, 1.23325965, 1.236129717, 1.242573482]","[0.000395324, 0.000401231, 0.000402152, 0.000390813, 0.000386862]"
dblp_to_amalgam1-naive-4,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[30.454948514, 30.425320016, 30.147737031, 30.201501274, 30.15799587]","[0.000575042, 0.000557491, 0.000517933, 0.000517091, 0.000535881]","[1.181479122, 1.094753035, 1.074096537, 1.030543439, 1.027726803]","[27.422295212, 27.538370398, 27.317401979, 27.403786642, 27.360197528]","[1.243466736, 1.254621142, 1.229778284, 1.245204157, 1.237857105]","[0.000569422, 0.000486401, 0.000500742, 0.000503425, 0.000471141]"
dblp_to_amalgam1-naive-8,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[31.185736404, 31.160835968, 31.238740667, 30.999045278, 30.98581964]","[0.000671982, 0.000680901, 0.00065728, 0.000675911, 0.000862961]","[2.081412087, 1.9462561360000001, 1.836846871, 1.828488782, 1.818297618]","[27.332196805, 27.430351944, 27.637960219, 27.418019867, 27.391404837]","[1.247142618, 1.247912457, 1.248226384, 1.241824789, 1.2529618820000001]","[0.000605232, 0.00058427, 0.000589612, 0.000580532, 0.000718931]"
dblp_to_amalgam1-naive-16,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[33.605843237, 32.616090151, 32.603898644, 32.962231211, 32.571380692]","[0.000925232, 0.000940612, 0.000954351, 0.000962403, 0.000961594]","[3.533308973, 3.431176819, 3.407022595, 3.344525641, 3.300129354]","[28.191062938, 27.425961399, 27.420924231, 27.863232485, 27.485155264]","[1.308331451, 1.2636858229999999, 1.275357994, 1.262786636, 1.2806610090000001]","[0.000816753, 0.000839751, 0.000851902, 0.00086026, 0.000848702]"
ibench_huge-greedy-1,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[50.166387502, 50.355350938, 50.587531787, 50.4868389, 50.736881485]","[0.000955865, 0.000904587, 0.001039205, 0.000932227, 0.0009176]","[5.04346876, 5.021387536, 5.02050319, 4.978123461, 4.997793137]","[41.32873593, 41.562077949, 41.718238992, 41.579937952, 41.723365115]","[2.226725997, 2.236256592, 2.248417244, 2.297184958, 2.29706158]","[0.000321008, 0.000320739, 0.000358169, 0.000319949, 0.000325871]"
