index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time,num_dup,num_tot
dblp_to_amalgam1-weighted_distance-50,"[0.89, 0.89, 0.89, 0.89, 0.89]","[21, 21, 21, 21, 21]","[61.377113245, 61.449612411, 59.830143357, 60.94854731, 60.945146466]","[0.000469342, 0.000480881, 0.000485159, 0.000482025, 0.00048394]","[0.670836622, 0.677314978, 0.694699301, 0.681374183, 0.686228629]","[58.637766112, 58.674388742, 57.069181643, 58.223988692, 58.201414553]","[1.4742847989999999, 1.50585433, 1.482035504, 1.464727273, 1.469048251]","[0.000495773, 0.000498301, 0.000510596, 0.000530504, 0.00051563]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
dblp_to_amalgam1-weighted_distance-100,"[0.89, 0.89, 0.89, 0.89, 0.89]","[21, 21, 21, 21, 21]","[60.422785765, 64.346029898, 59.706419694, 59.304126886, 60.298921691]","[0.000504192, 0.000483575, 0.000489026, 0.000497099, 0.000484789]","[0.684783474, 0.68250583, 0.696579801, 0.660741019, 0.675814479]","[57.644866706, 61.564413414, 57.024043863, 56.668707301, 57.602604837]","[1.515314118, 1.493426304, 1.417215907, 1.415888026, 1.443670601]","[0.000522352, 0.000537104, 0.000507516, 0.000529918, 0.00051112]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
dblp_to_amalgam1-weighted_distance-200,"[0.89, 0.89, 0.89, 0.89, 0.89]","[21, 21, 21, 21, 21]","[59.667297715, 61.554844931, 61.229603721, 61.365542528, 60.909422383]","[0.000483077, 0.000481837, 0.000513716, 0.00049285, 0.00050249]","[0.679997484, 0.687736239, 0.692922839, 0.700750185, 0.698086369]","[56.970815258, 58.782139333, 58.463427799, 58.603293834, 58.14867266]","[1.448979745, 1.501288008, 1.468406074, 1.473291407, 1.479373271]","[0.000507769, 0.000502861, 0.000520966, 0.000509089, 0.000532993]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
dblp_to_amalgam1-weighted_distance-None,"[0.89, 0.89, 0.89, 0.89, 0.89]","[21, 21, 21, 21, 21]","[59.389848142, 61.119615395, 59.20696394, 60.444427651, 60.543754928]","[0.000481626, 0.000495623, 0.000483477, 0.000486319, 0.000506491]","[0.68829417, 0.688199474, 0.684628024, 0.699654265, 0.691437937]","[56.706529587, 58.366826262000004, 56.538884263, 57.707667952, 57.800414943]","[1.424602611, 1.479379576, 1.422811103, 1.4592120579999999, 1.470248006]","[0.000528118, 0.000505114, 0.000506644, 0.00052238, 0.000509809]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
dblp_to_amalgam1-naive-10,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[61.381931795, 59.963371575, 62.240045803, 61.419892505, 61.289948514]","[0.000671489, 0.000664396, 0.000680617, 0.000670407, 0.00068089]","[1.531366827, 1.491727831, 1.5303873430000001, 1.5186537709999999, 1.5133889759999999]","[57.847671118, 56.565534112, 58.677264761, 57.901026703, 57.785524103]","[1.456079214, 1.408096462, 1.484336914, 1.4813770339999999, 1.46124991]","[0.000715564, 0.000675966, 0.000702833, 0.000682908, 0.000690896]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
dblp_to_amalgam1-naive-50,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[61.658923795, 61.193377248, 62.366706013, 61.749886285, 61.418904367]","[0.000682818, 0.000686829, 0.000707342, 0.000687901, 0.00068368]","[1.476274743, 1.496706009, 1.47334536, 1.600767661, 1.474487297]","[58.193583703, 57.714322545, 58.858244308, 58.1285516, 57.949259571]","[1.466381598, 1.4571117710000001, 1.490050712, 1.485473805, 1.458908999]","[0.000705565, 0.000708928, 0.000688159, 0.000703571, 0.00071342]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
dblp_to_amalgam1-naive-100,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[61.432186448, 61.189054382, 61.16296451, 61.286051942, 62.148433543]","[0.000670884, 0.000682111, 0.000691123, 0.000664386, 0.000660046]","[1.460892933, 1.483722695, 1.492822804, 1.448305998, 1.5147665369999999]","[57.977715292, 57.717718688, 57.694485385, 57.858186457, 58.651936606]","[1.461487876, 1.455190083, 1.449826943, 1.454177916, 1.449903973]","[0.000691045, 0.00075894, 0.000713441, 0.000681628, 0.000691929]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
dblp_to_amalgam1-naive-200,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[61.369542045, 61.467013481, 61.886815821, 63.0721146, 60.887294421]","[0.000677176, 0.000671866, 0.00068509, 0.000678365, 0.000656587]","[1.469733252, 1.480849691, 1.4712284869999999, 1.476939775, 1.469162807]","[57.920804315, 57.998395792, 58.428148464, 59.383777105, 57.44676501]","[1.44909871, 1.464737322, 1.459715236, 1.586412321, 1.454881597]","[0.000702479, 0.000709835, 0.000726522, 0.000680677, 0.000671738]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
dblp_to_amalgam1-naive-None,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[61.514363082, 61.077748666, 61.313180035, 59.831965574, 62.340691853]","[0.00068493, 0.0007373, 0.000671655, 0.000672436, 0.000668531]","[1.469692719, 1.476113086, 1.482802819, 1.457634076, 1.483341785]","[58.063062892, 57.63513282, 57.82512835, 56.432320456, 58.846545541]","[1.454800471, 1.438454738, 1.479702291, 1.429947729, 1.477280297]","[0.000698777, 0.000875037, 0.000713122, 0.000694575, 0.000697128]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
amalgam1_to_amalgam3-greedy-10,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[217.468806913, 218.126673215, 214.160082462, 217.864752846, 211.035072456]","[0.000753714, 0.000741452, 0.000734199, 0.00073166, 0.000744166]","[2.018794744, 0.919199048, 0.820406379, 0.765391697, 0.739808146]","[205.068162624, 207.183896344, 203.381823664, 207.079620429, 200.426525669]","[7.896867899, 7.807920398, 7.79775118, 7.855707185, 7.740832486]","[0.000414986, 0.00041723, 0.00046656, 0.000407767, 0.000408757]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
